Semua Laporan Iklan CPC - Shopee Indonesia
Username,official.aljazira
Nama Toko,Official Al-Jazira
ID Toko,1133835464
Waktu Laporan Dibuat,19/02/2026 08:38
Periode,01/01/2026 - 31/01/2026

Urutan,Nama Iklan,Status,Jenis Iklan,Kode Produk,Tampilan Iklan,Mode Bidding,Penempatan Iklan,Kata Pencarian/Penempatan,Tipe Pencocokan,Tanggal Mulai,Tanggal Selesai,Dilihat,Jumlah Klik,Persentase Klik,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Jumlah Produk Dilihat,Jumlah Klik Produk,Persentase Klik Produk
14,Al-Jazira Sari Kurma Platinum Asli Vitamin Penambah Nafsu Makan Anak Dewasa Penggemuk Badan BPOM [11],Berjalan,Iklan Produk,21295903948,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,28/01/2026 00:00:00,Tidak Terbatas,1147,31,2.70%,3,2,9.68%,6.45%,3902.01,5853.01,3,2,90226,48226,11706,7.71,4.12,12.97%,24.27%,-,-,-
15,Al-Jazira Kurma Ajwa Ashimah 500 gr Premium Grade A1 / Kurma Nabi Super Asli Madinah BPOM [10],Berjalan,Iklan Produk,24734919933,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,17/12/2025 00:00:00,Tidak Terbatas,661,6,0.91%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,610,0.00,0.00,0.00%,0.00%,-,-,-
16,Al-Jazira Ready To Drink RTD 200 ml - Minuman Kurma Siap Minum Tinggi Vitamin C BPOM,Dijeda,Iklan Produk,24334783699,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,23/10/2025 00:00:00,Tidak Terbatas,3045,53,1.74%,6,5,11.32%,9.43%,5158.95,6190.74,8,6,131567,44015,30954,4.25,1.42,23.53%,70.33%,-,-,-
17,Al-Jazira Madu Hitam Pahit Asli 1 KG Untuk Diabetes Kolesterol Gula Darah Imun Tubuh Darah Tinggi [4],Berakhir,Iklan Produk,42668632813,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,12/11/2025 00:00:00,11/02/2026 15:23:23,22179,397,1.79%,28,24,7.05%,6.05%,12189.85,14221.49,30,26,1787012,1631648,341316,5.24,4.78,19.10%,20.92%,-,-,-
18,Al-Jazira Sari Kurma Original 360 gr Supplement Penambah Nafsu Makan Penggemuk Badan & Asli BPOM [12],Berakhir,Iklan Produk,25753233040,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,26/11/2025 00:00:00,06/01/2026 10:51:50,11531,404,3.50%,35,27,8.66%,6.68%,3985.30,5166.13,40,32,1029137,744252,139486,7.38,5.34,13.55%,18.74%,-,-,-
19,Al-Jazira Sari Kurma Original 360 gr Supplement Penambah Nafsu Makan Penggemuk Badan & Asli BPOM [14],Berakhir,Iklan Produk,25753233040,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,14/01/2026 00:00:00,28/01/2026 11:46:09,6517,205,3.15%,10,8,4.88%,3.90%,6036.31,7545.39,11,9,288625,211607,60363,4.78,3.51,20.91%,28.53%,-,-,-
20,Al-Jazira Sari Kurma Original 360 gr Supplement Penambah Nafsu Makan Penggemuk Badan & Asli BPOM [13],Berakhir,Iklan Produk,25753233040,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,07/01/2026 00:00:00,14/01/2026 10:45:14,6458,200,3.10%,7,6,3.50%,3.00%,12402.53,14469.62,15,14,367148,321548,86818,4.23,3.70,23.65%,27.00%,-,-,-
21,Al-Jazira Date Crown Kurma Khalas 500 gr dari UAE in Box New Exp.Terbaru Premium BPOM [10],Berakhir,Iklan Produk,24656960261,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,07/01/2026 00:00:00,17/01/2026 08:18:20,6178,53,0.86%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,34180,0.00,0.00,0.00%,0.00%,-,-,-
22,Al-Jazira Date Crown Kurma Khalas 500 gr dari UAE in Box New Exp.Terbaru Premium BPOM [11],Berakhir,Iklan Produk,24656960261,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,21/01/2026 00:00:00,07/02/2026 08:47:57,5790,60,1.04%,1,1,1.67%,1.67%,20397.53,20397.53,1,1,28500,28500,20398,1.40,1.40,71.57%,71.57%,-,-,-
23,Al-Jazira Madu Zuriat 1 KG Program Hamil Untuk Pria & Wanita [2],Berakhir,Iklan Produk,40622499843,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,23/10/2025 00:00:00,17/01/2026 08:18:20,5045,46,0.91%,1,1,2.17%,2.17%,21526.23,21526.23,1,1,56100,56100,21526,2.61,2.61,38.37%,38.37%,-,-,-
24,Al-Jazira Sari Kurma Platinum Asli Vitamin Penambah Nafsu Makan Anak Dewasa Penggemuk Badan BPOM [10],Berakhir,Iklan Produk,21295903948,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,19/11/2025 00:00:00,23/01/2026 09:01:37,3258,59,1.81%,3,2,5.08%,3.39%,8479.27,12718.90,3,2,74648,51000,25438,2.93,2.00,34.08%,49.88%,-,-,-
25,Al-Jazira Sari Kurma Madu Angkak 700 gr Plus Herbal Obat Typus Demam Tinggi & Menjaga Stamina Tubuh [7],Berakhir,Iklan Produk,24153475530,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,07/01/2026 00:00:00,17/01/2026 08:18:20,3037,42,1.38%,1,1,2.38%,2.38%,36751.80,36751.80,1,1,54900,54900,36752,1.49,1.49,66.94%,66.94%,-,-,-
26,Al-Jazira Sari Kurma Original 360 gr Supplement Penambah Nafsu Makan Penggemuk Badan & Asli BPOM [15],Berakhir,Iklan Produk,25753233040,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,28/01/2026 00:00:00,30/01/2026 08:50:08,2375,83,3.49%,8,4,9.64%,4.82%,13496.12,26992.23,10,6,312630,138390,107969,2.90,1.28,34.54%,78.02%,-,-,-
27,Al-Jazira Heritage Sirup Sari Kurma + Jahe Cair Konsentrat 350 ml Sumber Energi Alami [2],Berakhir,Iklan Produk,25034795140,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,23/10/2025 00:00:00,07/02/2026 08:47:57,1181,30,2.54%,1,1,3.33%,3.33%,14117.59,14117.59,1,1,30713,30713,14118,2.18,2.18,45.97%,45.97%,-,-,-
